ID,Team,Title,Description,Status,Estimate,Priority,Project ID,Project,Creator,Assignee,Labels,Cycle Number,Cycle Name,Cycle Start,Cycle End,Created,Updated,Started,Triaged,Completed,Canceled,Archived,Due Date,Parent issue,Initiatives,Project Milestone ID,Project Milestone,SLA Status
,Inspannings Monitor,Weekoverzichtspagina bouwen,"Bouw de pagina voor weekterugblik.

## Context
- Bron backlog-ID: `ST-501`
- Epic / project: `Weekoverzicht en inzichten`
- Fase: `Release 1`
- Afhankelijk van: `EPIC-05`

## Definition of done
Gebruiker kan per week terugkijken.",Backlog,,medium,,Weekoverzicht en inzichten,,,"release:r1, epic:weekoverzicht, type:ui",,,,,2026-04-17T00:00:00Z,,,,,,,,,Release 1 MVP,,,
,Inspannings Monitor,Weekaggregaties bouwen,"Bereken gemiddelde energie en budget-adherence per week.

## Context
- Bron backlog-ID: `ST-502`
- Epic / project: `Weekoverzicht en inzichten`
- Fase: `Release 1`
- Afhankelijk van: `ST-501`

## Definition of done
Gemiddelde energie en budget-adherence zijn herleidbaar en testbaar.",Backlog,,medium,,Weekoverzicht en inzichten,,,"release:r1, epic:weekoverzicht, type:logic",,,,,2026-04-17T00:00:00Z,,,,,,,,,Release 1 MVP,,,
,Inspannings Monitor,Skip-patronen zichtbaar maken,"Toon patronen rond skip-redenen en terugkerende activiteiten.

## Context
- Bron backlog-ID: `ST-503`
- Epic / project: `Weekoverzicht en inzichten`
- Fase: `Release 1`
- Afhankelijk van: `ST-502`

## Definition of done
Patronen worden alleen bij voldoende data getoond.",Backlog,,medium,,Weekoverzicht en inzichten,,,"release:r1, epic:weekoverzicht, type:logic-ui",,,,,2026-04-17T00:00:00Z,,,,,,,,,Release 1 MVP,,,
,Inspannings Monitor,Insightregels met datadrempels definiëren,"Leg guardrails vast voor het tonen van patronen.

## Context
- Bron backlog-ID: `ST-504`
- Epic / project: `Weekoverzicht en inzichten`
- Fase: `Release 1`
- Afhankelijk van: `ST-502`

## Definition of done
Geen patroonclaim zonder guardrails.",Backlog,,medium,,Weekoverzicht en inzichten,,,"release:r1, epic:weekoverzicht, type:safety-logic",,,,,2026-04-17T00:00:00Z,,,,,,,,,Release 1 MVP,,,
,Inspannings Monitor,Insightcopy toetsen op niet-medische formulering,"Controleer alle inzichtteksten op wellness-positionering.

## Context
- Bron backlog-ID: `ST-505`
- Epic / project: `Weekoverzicht en inzichten`
- Fase: `Release 1`
- Afhankelijk van: `ST-504`

## Definition of done
Alle teksten blijven binnen wellness-positionering.",Backlog,,medium,,Weekoverzicht en inzichten,,,"release:r1, epic:weekoverzicht, type:content",,,,,2026-04-17T00:00:00Z,,,,,,,,,Release 1 MVP,,,
,Inspannings Monitor,ReflectionCheckIn-model en flow implementeren,"Implementeer model en basisflow voor reflectie na een zwaardere dag.

## Context
- Bron backlog-ID: `ST-601`
- Epic / project: `Reflectie en reminders`
- Fase: `Release 1`
- Afhankelijk van: `EPIC-05`

## Definition of done
Reflecties kunnen aan eerdere dagen gekoppeld worden.",Backlog,,medium,,Reflectie en reminders,,,"release:r1, epic:reflectie, type:build",,,,,2026-04-17T00:00:00Z,,,,,,,,,Release 1 MVP,,,
,Inspannings Monitor,Joblogica voor T+1/T+2 prompts bouwen,"Bepaal server-side welke gebruikers een reflectieprompt moeten zien.

## Context
- Bron backlog-ID: `ST-602`
- Epic / project: `Reflectie en reminders`
- Fase: `Release 1`
- Afhankelijk van: `ST-601`

## Definition of done
Prompts worden niet dubbel of willekeurig aangemaakt.",Backlog,,medium,,Reflectie en reminders,,,"release:r1, epic:reflectie, type:logic-ops",,,,,2026-04-17T00:00:00Z,,,,,,,,,Release 1 MVP,,,
,Inspannings Monitor,Instellingsoptie voor reflectieprompts toevoegen,"Maak opt-in beheerbaar vanuit instellingen.

## Context
- Bron backlog-ID: `ST-603`
- Epic / project: `Reflectie en reminders`
- Fase: `Release 1`
- Afhankelijk van: `ST-104`

## Definition of done
Gebruiker beheert opt-in zelfstandig.",Backlog,,medium,,Reflectie en reminders,,,"release:r1, epic:reflectie, type:build",,,,,2026-04-17T00:00:00Z,,,,,,,,,Release 1 MVP,,,
,Inspannings Monitor,Korte reflectie-UI bouwen,"Bouw een lichte, niet-medische reflectieprompt.

## Context
- Bron backlog-ID: `ST-604`
- Epic / project: `Reflectie en reminders`
- Fase: `Release 1`
- Afhankelijk van: `ST-602`

## Definition of done
Prompt voelt licht en niet medisch.",Backlog,,medium,,Reflectie en reminders,,,"release:r1, epic:reflectie, type:ui",,,,,2026-04-17T00:00:00Z,,,,,,,,,Release 1 MVP,,,
,Inspannings Monitor,Rate limiting toevoegen,"Bescherm kritieke auth- en mutatieroutes tegen misbruik.

## Context
- Bron backlog-ID: `ST-701`
- Epic / project: `Security en operations`
- Fase: `Release 1`
- Afhankelijk van: `EPIC-02`

## Definition of done
Kritieke auth- en mutatieroutes zijn beschermd.",Backlog,,high,,Security en operations,,,"release:r1, epic:security-ops, type:security",,,,,2026-04-17T00:00:00Z,,,,,,,,,Release 1 MVP,,,
,Inspannings Monitor,Logging voor fouten en kernmutaties inrichten,"Log fouten, loginproblemen en belangrijke mutaties centraal.

## Context
- Bron backlog-ID: `ST-702`
- Epic / project: `Security en operations`
- Fase: `Release 1`
- Afhankelijk van: `EPIC-03,EPIC-04,EPIC-05`

## Definition of done
Kerngebeurtenissen zijn herleidbaar.",Backlog,,high,,Security en operations,,,"release:r1, epic:security-ops, type:ops",,,,,2026-04-17T00:00:00Z,,,,,,,,,Release 1 MVP,,,
,Inspannings Monitor,Back-up en herstelstrategie documenteren en testen,"Werk het restore-pad uit en valideer het.

## Context
- Bron backlog-ID: `ST-703`
- Epic / project: `Security en operations`
- Fase: `Release 1`
- Afhankelijk van: `EPIC-01`

## Definition of done
Restore-pad is aantoonbaar gevalideerd.",Backlog,,high,,Security en operations,,,"release:r1, epic:security-ops, type:ops",,,,,2026-04-17T00:00:00Z,,,,,,,,,Release 1 MVP,,,
,Inspannings Monitor,Secrets- en environmentbeheer formaliseren,"Leg veilig beheer van secrets en omgevingen vast voor Vercel en Supabase.

## Context
- Bron backlog-ID: `ST-704`
- Epic / project: `Security en operations`
- Fase: `Release 1`
- Afhankelijk van: `EPIC-01`

## Definition of done
Geen secrets in code of onveilige configuratie.",Backlog,,high,,Security en operations,,,"release:r1, epic:security-ops, type:security-ops",,,,,2026-04-17T00:00:00Z,,,,,,,,,Release 1 MVP,,,
,Inspannings Monitor,RLS-policy tests toevoegen,"Test aantoonbaar dat owner-only toegang technisch afgedwongen is.

## Context
- Bron backlog-ID: `ST-705`
- Epic / project: `Security en operations`
- Fase: `Release 1`
- Afhankelijk van: `ST-105`

## Definition of done
Owner-only model is aantoonbaar afgedwongen.",Backlog,,high,,Security en operations,,,"release:r1, epic:security-ops, type:qa-security",,,,,2026-04-17T00:00:00Z,,,,,,,,,Release 1 MVP,,,
,Inspannings Monitor,Kernflows handmatig testen,"Voer end-to-end handmatige tests uit op mobiel en desktop.

## Context
- Bron backlog-ID: `ST-801`
- Epic / project: `Launch-readiness`
- Fase: `Release 1`
- Afhankelijk van: `EPIC-05,EPIC-06,EPIC-07`

## Definition of done
Belangrijkste user journeys zijn geverifieerd.",Backlog,,high,,Launch-readiness,,,"release:r1, epic:launch, type:qa",,,,,2026-04-17T00:00:00Z,,,,,,,,,Release 1 MVP,,,
,Inspannings Monitor,Accessibility check uitvoeren,"Controleer touch targets, contrast en reduced motion.

## Context
- Bron backlog-ID: `ST-802`
- Epic / project: `Launch-readiness`
- Fase: `Release 1`
- Afhankelijk van: `EPIC-05`

## Definition of done
Touch targets, contrast en reduced motion zijn gecontroleerd.",Backlog,,high,,Launch-readiness,,,"release:r1, epic:launch, type:qa-ux",,,,,2026-04-17T00:00:00Z,,,,,,,,,Release 1 MVP,,,
,Inspannings Monitor,Copy review doen,"Controleer onboarding, dashboardteksten en inzichten op wellness-copy.

## Context
- Bron backlog-ID: `ST-803`
- Epic / project: `Launch-readiness`
- Fase: `Release 1`
- Afhankelijk van: `EPIC-06`

## Definition of done
Geen medische of zorgdossier-taal in release 1.",Backlog,,high,,Launch-readiness,,,"release:r1, epic:launch, type:content-safety",,,,,2026-04-17T00:00:00Z,,,,,,,,,Release 1 MVP,,,
,Inspannings Monitor,DPIA-input en datacatalogus afronden,"Rond privacyartefacten af op basis van de werkelijke MVP-scope.

## Context
- Bron backlog-ID: `ST-804`
- Epic / project: `Launch-readiness`
- Fase: `Release 1`
- Afhankelijk van: `EPIC-08`

## Definition of done
Pre-launch privacyartefacten zijn gereed.",Backlog,,high,,Launch-readiness,,,"release:r1, epic:launch, type:privacy",,,,,2026-04-17T00:00:00Z,,,,,,,,,Release 1 MVP,,,
,Inspannings Monitor,Go-live checklist opstellen,"Maak een checklist voor launch, rollback, monitoring en incidentrespons.

## Context
- Bron backlog-ID: `ST-805`
- Epic / project: `Launch-readiness`
- Fase: `Release 1`
- Afhankelijk van: `EPIC-08`

## Definition of done
Team weet hoe launch en eerste incidentrespons verloopt.",Backlog,,high,,Launch-readiness,,,"release:r1, epic:launch, type:ops",,,,,2026-04-17T00:00:00Z,,,,,,,,,Release 1 MVP,,,
